index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
15728,Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Бүргэд,27.0,5,Лизинггүй,Баянгол,1,10-р хороолол,2020-03-20 18:30:00,1OROO 27M2 BAIR,43000000.0,Улаанбаатар,27.0,49934253.40599455
15729,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,25.0,16,Лизинггүй,Хан-Уул,1,Яармаг,2020-03-20 19:27:00,YARMAGT GARDEN VILLA 1OROO 25M2 BAIR,45000000.0,Улаанбаатар,25.0,44323492.85714286
15730,Паркет,1 тагттай,2017,Байхгүй,Вакум,6,Бүргэд,25.0,2,Лизинггүй,Хан-Уул,2,19-р хороолол,2020-03-20 21:22:00,TETS 3 TETS 4 2N DUND BAIRLAKH IREJDUI KHOTKHOND 1 OROO,35000000.0,Улаанбаатар,25.0,55550309.94152047
15731,Мод,Тагтгүй,2013,Байхгүй,Вакум,3,Бүргэд,18.0,3,Лизинггүй,Баянгол,1,6-р бичил,2020-03-20 21:51:00,18M2 1 OROO BAIR,35000000.0,Улаанбаатар,18.0,41250000.0
15732,Паркет,1 тагттай,2011,Байхгүй,Вакум,5,Бүргэд,31.0,3,Лизинггүй,Налайх,2,Бусад,2020-03-20 22:09:00,TSENGEG KHOTKHOND 1 OROO BAIR 31M2,40000000.0,Улаанбаатар,31.0,51733929.42898975
15733,Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Бүргэд,29.63,6,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-03-21 09:02:00,1OROO 29.63M2 BAIR,45000000.0,Улаанбаатар,29.63,46918892.327365726
15734,Паркет,1 тагттай,2016,Байхгүй,Вакум,6,Бүргэд,37.0,3,Лизинггүй,Баянзүрх,3,Зүүн 4 зам,2020-03-21 07:55:00,NARANTUUL ZAKHYN ARD 2OROO BAIR,62000000.0,Улаанбаатар,37.0,83746655.1724138
15735,Паркет,Тагтгүй,2020,Байхгүй,Вакум,4,Бүргэд,30.0,3,Хувь лизингтэй,Баянзүрх,3,Сансар,2020-03-21 09:58:00,NEG OROO BAIR 30M2,45000000.0,Улаанбаатар,30.0,49356930.69306931
15736,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,38.0,11,Лизинггүй,Баянгол,1,10-р хороолол,2020-03-21 09:53:00,1 URUU BAIR 38M2,60000000.0,Улаанбаатар,38.0,64905996.45390071
15737,Паркет,1 тагттай,2010,Байхгүй,Вакум,11,Бүргэд,30.0,11,Лизинггүй,Чингэлтэй,2,Баянбүрд,2020-03-21 10:16:00,1 OROO,60000000.0,Улаанбаатар,30.0,59190014.63414634
